program_id,zipcode_id
1946,23989
4127,7837
4127,7840
4127,7841
4127,7842
4127,7843
4127,7844
4127,7848
4127,7851
4127,7873
4127,7878
4127,7886
4127,7889
4127,7890
4127,7891
4127,7900
4127,7902
4127,7903
4127,7906
4127,7907
4127,7908
4127,8745
4127,8789
4127,8800
4127,8807
4127,8809
4127,8869
4127,8873
4127,8874
4127,8875
4127,8889
4127,8910
4127,8935
4127,8936
4127,8971
4127,8972
5835,21929
